,region,generacion,demanda,diferencia,hora,fecha
0,Baja California,2419.0,2445.0,-26.0,00,2023-08-02 00:46:06
1,Baja California Sur,593.0,582.0,11.0,00,2023-08-02 00:46:06
2,CENTRAL,3913.0,5876.0,-1963.0,00,2023-08-02 00:46:06
3,NORESTE,12425.0,9887.0,2538.0,00,2023-08-02 00:46:06
4,NOROESTE,4779.0,4748.0,31.0,00,2023-08-02 00:46:06
5,NORTE,4143.0,4408.0,-265.0,00,2023-08-02 00:46:06
6,OCCIDENTAL,6115.0,8805.0,-2690.0,00,2023-08-02 00:46:06
7,ORIENTAL,10042.0,6865.0,3177.0,00,2023-08-02 00:46:06
8,PENINSULAR,1343.0,2219.0,-876.0,00,2023-08-02 00:46:06
9,S.I. NACIONAL,42766.0,42816.0,-50.0,00,2023-08-02 00:46:06
10,Baja California,2265.0,2386.0,-121.0,01,2023-08-02 01:24:21
11,Baja California Sur,578.0,568.0,10.0,01,2023-08-02 01:24:21
12,CENTRAL,4238.0,5945.0,-1707.0,01,2023-08-02 01:24:21
13,NORESTE,12682.0,9729.0,2953.0,01,2023-08-02 01:24:21
14,NOROESTE,4734.0,4603.0,131.0,01,2023-08-02 01:24:21
15,NORTE,4112.0,4366.0,-254.0,01,2023-08-02 01:24:21
16,OCCIDENTAL,6013.0,8617.0,-2604.0,01,2023-08-02 01:24:21
17,ORIENTAL,8996.0,6834.0,2162.0,01,2023-08-02 01:24:21
18,PENINSULAR,1333.0,2152.0,-819.0,01,2023-08-02 01:24:21
19,S.I. NACIONAL,42107.0,42248.0,-141.0,01,2023-08-02 01:24:21
20,Baja California,2398.0,2423.0,-25.0,09,2023-08-02 09:26:50
21,Baja California Sur,515.0,499.0,16.0,09,2023-08-02 09:26:50
22,CENTRAL,3715.0,6954.0,-3239.0,09,2023-08-02 09:26:50
23,NORESTE,10301.0,9115.0,1186.0,09,2023-08-02 09:26:50
24,NOROESTE,4532.0,4017.0,515.0,09,2023-08-02 09:26:50
25,NORTE,5513.0,4558.0,955.0,09,2023-08-02 09:26:50
26,OCCIDENTAL,7549.0,9532.0,-1983.0,09,2023-08-02 09:26:50
27,ORIENTAL,9829.0,6411.0,3418.0,09,2023-08-02 09:26:50
28,PENINSULAR,1471.0,2016.0,-545.0,09,2023-08-02 09:26:50
29,S.I. NACIONAL,42914.0,42621.0,293.0,09,2023-08-02 09:26:50
30,Baja California,2495.0,2638.0,-143.0,11,2023-08-02 11:03:28
31,Baja California Sur,550.0,536.0,14.0,11,2023-08-02 11:03:28
32,CENTRAL,3762.0,7150.0,-3388.0,11,2023-08-02 11:03:28
33,NORESTE,11154.0,9362.0,1792.0,11,2023-08-02 11:03:28
34,NOROESTE,4576.0,4331.0,245.0,11,2023-08-02 11:03:28
35,NORTE,5832.0,4659.0,1173.0,11,2023-08-02 11:03:28
36,OCCIDENTAL,7639.0,9702.0,-2063.0,11,2023-08-02 11:03:28
37,ORIENTAL,9890.0,6848.0,3042.0,11,2023-08-02 11:03:28
38,PENINSULAR,1512.0,2047.0,-535.0,11,2023-08-02 11:03:28
39,S.I. NACIONAL,44366.0,44101.0,265.0,11,2023-08-02 11:03:28
40,Baja California,2650.0,2752.0,-102.0,12,2023-08-02 12:00:27
41,Baja California Sur,570.0,550.0,20.0,12,2023-08-02 12:00:27
42,CENTRAL,3789.0,7516.0,-3727.0,12,2023-08-02 12:00:27
43,NORESTE,11478.0,9619.0,1859.0,12,2023-08-02 12:00:27
44,NOROESTE,4718.0,4529.0,189.0,12,2023-08-02 12:00:27
45,NORTE,5912.0,4730.0,1182.0,12,2023-08-02 12:00:27
46,OCCIDENTAL,7542.0,9778.0,-2236.0,12,2023-08-02 12:00:27
47,ORIENTAL,10428.0,6942.0,3486.0,12,2023-08-02 12:00:27
48,PENINSULAR,1610.0,2082.0,-472.0,12,2023-08-02 12:00:27
49,S.I. NACIONAL,45478.0,45196.0,282.0,12,2023-08-02 12:00:27
50,Baja California,2514.0,3043.0,-529.0,18,2023-08-03 18:04:16
51,Baja California Sur,656.0,639.0,17.0,18,2023-08-03 18:04:16
52,CENTRAL,5188.0,7476.0,-2288.0,18,2023-08-03 18:04:16
53,NORESTE,13669.0,10024.0,3645.0,18,2023-08-03 18:04:16
54,NOROESTE,5520.0,5536.0,-16.0,18,2023-08-03 18:04:16
55,NORTE,5329.0,4936.0,393.0,18,2023-08-03 18:04:16
56,OCCIDENTAL,7271.0,10028.0,-2757.0,18,2023-08-03 18:04:16
57,ORIENTAL,9075.0,6821.0,2254.0,18,2023-08-03 18:04:16
58,PENINSULAR,1251.0,2161.0,-910.0,18,2023-08-03 18:04:16
59,S.I. NACIONAL,47308.0,46973.0,335.0,18,2023-08-03 18:04:16
60,Baja California,2374.0,2707.0,-333.0,19,2023-08-04 19:10:49
61,Baja California Sur,578.0,569.0,9.0,19,2023-08-04 19:10:49
62,CENTRAL,5497.0,7699.0,-2202.0,19,2023-08-04 19:10:49
63,NORESTE,13312.0,9705.0,3607.0,19,2023-08-04 19:10:49
64,NOROESTE,5120.0,5230.0,-110.0,19,2023-08-04 19:10:49
65,NORTE,4248.0,4924.0,-676.0,19,2023-08-04 19:10:49
66,OCCIDENTAL,7954.0,9364.0,-1410.0,19,2023-08-04 19:10:49
67,ORIENTAL,9339.0,7433.0,1906.0,19,2023-08-04 19:10:49
68,PENINSULAR,1407.0,2280.0,-873.0,19,2023-08-04 19:10:49
69,S.I. NACIONAL,46875.0,46650.0,225.0,19,2023-08-04 19:10:49
70,Baja California,2382.0,2658.0,-276.0,20,2023-08-04 20:03:16
71,Baja California Sur,554.0,543.0,11.0,20,2023-08-04 20:03:16
72,CENTRAL,5631.0,7840.0,-2209.0,20,2023-08-04 20:03:16
73,NORESTE,13417.0,9875.0,3542.0,20,2023-08-04 20:03:16
74,NOROESTE,4724.0,5097.0,-373.0,20,2023-08-04 20:03:16
75,NORTE,4086.0,4930.0,-844.0,20,2023-08-04 20:03:16
76,OCCIDENTAL,7991.0,9573.0,-1582.0,20,2023-08-04 20:03:16
77,ORIENTAL,10136.0,7621.0,2515.0,20,2023-08-04 20:03:16
78,PENINSULAR,1416.0,2288.0,-872.0,20,2023-08-04 20:03:16
79,S.I. NACIONAL,47402.0,47204.0,198.0,20,2023-08-04 20:03:16
80,Baja California,2383.0,2615.0,-232.0,21,2023-08-04 21:11:35
81,Baja California Sur,578.0,563.0,15.0,21,2023-08-04 21:11:35
82,CENTRAL,5652.0,7793.0,-2141.0,21,2023-08-04 21:11:35
83,NORESTE,13399.0,9880.0,3519.0,21,2023-08-04 21:11:35
84,NOROESTE,4732.0,5220.0,-488.0,21,2023-08-04 21:11:35
85,NORTE,4196.0,4959.0,-763.0,21,2023-08-04 21:11:35
86,OCCIDENTAL,7489.0,9575.0,-2086.0,21,2023-08-04 21:11:35
87,ORIENTAL,10282.0,7546.0,2736.0,21,2023-08-04 21:11:35
88,PENINSULAR,1464.0,2330.0,-866.0,21,2023-08-04 21:11:35
89,S.I. NACIONAL,47216.0,47302.0,-86.0,21,2023-08-04 21:11:35
90,Baja California,2784.0,2769.0,15.0,22,2023-08-08 22:13:05
91,Baja California Sur,620.0,602.0,18.0,22,2023-08-08 22:13:05
92,CENTRAL,5866.0,7684.0,-1818.0,22,2023-08-08 22:13:05
93,NORESTE,14508.0,10564.0,3944.0,22,2023-08-08 22:13:05
94,NOROESTE,4732.0,5507.0,-775.0,22,2023-08-08 22:13:05
95,NORTE,4421.0,5106.0,-685.0,22,2023-08-08 22:13:05
96,OCCIDENTAL,6865.0,9710.0,-2845.0,22,2023-08-08 22:13:05
97,ORIENTAL,11213.0,7998.0,3215.0,22,2023-08-08 22:13:05
98,PENINSULAR,1553.0,2499.0,-946.0,22,2023-08-08 22:13:05
99,S.I. NACIONAL,49147.0,49086.0,61.0,22,2023-08-08 22:13:05
100,Baja California,2680.0,2688.0,-8.0,23,2023-08-08 23:01:25
101,Baja California Sur,620.0,605.0,15.0,23,2023-08-08 23:01:25
102,CENTRAL,5338.0,7366.0,-2028.0,23,2023-08-08 23:01:25
103,NORESTE,14508.0,10655.0,3853.0,23,2023-08-08 23:01:25
104,NOROESTE,4733.0,5430.0,-697.0,23,2023-08-08 23:01:25
105,NORTE,4417.0,5014.0,-597.0,23,2023-08-08 23:01:25
106,OCCIDENTAL,6851.0,9485.0,-2634.0,23,2023-08-08 23:01:25
107,ORIENTAL,10979.0,7831.0,3148.0,23,2023-08-08 23:01:25
108,PENINSULAR,1512.0,2490.0,-978.0,23,2023-08-08 23:01:25
109,S.I. NACIONAL,48334.0,48278.0,56.0,23,2023-08-08 23:01:25
110,Baja California,2196.0,2197.0,-1.0,08,2023-08-09 08:29:12
111,Baja California Sur,477.0,463.0,14.0,08,2023-08-09 08:29:12
112,CENTRAL,4528.0,7032.0,-2504.0,08,2023-08-09 08:29:12
113,NORESTE,12663.0,9077.0,3586.0,08,2023-08-09 08:29:12
114,NOROESTE,4149.0,4115.0,34.0,08,2023-08-09 08:29:12
115,NORTE,5479.0,4658.0,821.0,08,2023-08-09 08:29:12
116,OCCIDENTAL,7240.0,8994.0,-1754.0,08,2023-08-09 08:29:12
117,ORIENTAL,7339.0,6707.0,632.0,08,2023-08-09 08:29:12
118,PENINSULAR,1529.0,2029.0,-500.0,08,2023-08-09 08:29:12
119,S.I. NACIONAL,42915.0,42611.0,304.0,08,2023-08-09 08:29:12
120,Baja California,2225.0,2440.0,-215.0,10,2023-08-09 10:06:02
121,Baja California Sur,523.0,505.0,18.0,10,2023-08-09 10:06:02
122,CENTRAL,4622.0,7492.0,-2870.0,10,2023-08-09 10:06:02
123,NORESTE,12579.0,9525.0,3054.0,10,2023-08-09 10:06:02
124,NOROESTE,4433.0,4422.0,11.0,10,2023-08-09 10:06:02
125,NORTE,5711.0,4804.0,907.0,10,2023-08-09 10:06:02
126,OCCIDENTAL,7491.0,9371.0,-1880.0,10,2023-08-09 10:06:02
127,ORIENTAL,8496.0,6982.0,1514.0,10,2023-08-09 10:06:02
128,PENINSULAR,1669.0,2120.0,-451.0,10,2023-08-09 10:06:02
129,S.I. NACIONAL,45022.0,44711.0,311.0,10,2023-08-09 10:06:02
130,Baja California,2082.0,2186.0,-104.0,03,2023-08-10 03:30:24
131,Baja California Sur,507.0,496.0,11.0,03,2023-08-10 03:30:24
132,CENTRAL,4508.0,6018.0,-1510.0,03,2023-08-10 03:30:24
133,NORESTE,13485.0,9252.0,4233.0,03,2023-08-10 03:30:24
134,NOROESTE,4533.0,4060.0,473.0,03,2023-08-10 03:30:24
135,NORTE,4311.0,4447.0,-136.0,03,2023-08-10 03:30:24
136,OCCIDENTAL,5540.0,8089.0,-2549.0,03,2023-08-10 03:30:24
137,ORIENTAL,7239.0,7044.0,195.0,03,2023-08-10 03:30:24
138,PENINSULAR,1518.0,2176.0,-658.0,03,2023-08-10 03:30:24
139,S.I. NACIONAL,41128.0,41087.0,41.0,03,2023-08-10 03:30:24
140,Baja California,2052.0,2139.0,-87.0,04,2023-08-10 04:02:26
141,Baja California Sur,498.0,487.0,11.0,04,2023-08-10 04:02:26
142,CENTRAL,4503.0,5889.0,-1386.0,04,2023-08-10 04:02:26
143,NORESTE,13233.0,9083.0,4150.0,04,2023-08-10 04:02:26
144,NOROESTE,4391.0,4001.0,390.0,04,2023-08-10 04:02:26
145,NORTE,4279.0,4421.0,-142.0,04,2023-08-10 04:02:26
146,OCCIDENTAL,5501.0,8102.0,-2601.0,04,2023-08-10 04:02:26
147,ORIENTAL,7157.0,6944.0,213.0,04,2023-08-10 04:02:26
148,PENINSULAR,1490.0,2122.0,-632.0,04,2023-08-10 04:02:26
149,S.I. NACIONAL,40592.0,40559.0,33.0,04,2023-08-10 04:02:26
150,Baja California,2053.0,2114.0,-61.0,05,2023-08-10 05:15:49
151,Baja California Sur,477.0,470.0,7.0,05,2023-08-10 05:15:49
152,CENTRAL,4520.0,5917.0,-1397.0,05,2023-08-10 05:15:49
153,NORESTE,13554.0,9033.0,4521.0,05,2023-08-10 05:15:49
154,NOROESTE,4257.0,3860.0,397.0,05,2023-08-10 05:15:49
155,NORTE,4298.0,4403.0,-105.0,05,2023-08-10 05:15:49
156,OCCIDENTAL,5203.0,8092.0,-2889.0,05,2023-08-10 05:15:49
157,ORIENTAL,7039.0,6723.0,316.0,05,2023-08-10 05:15:49
158,PENINSULAR,1379.0,2030.0,-651.0,05,2023-08-10 05:15:49
159,S.I. NACIONAL,40255.0,40058.0,197.0,05,2023-08-10 05:15:49
160,Baja California,2080.0,2071.0,9.0,06,2023-08-10 06:15:14
161,Baja California Sur,470.0,459.0,11.0,06,2023-08-10 06:15:14
162,CENTRAL,4626.0,6346.0,-1720.0,06,2023-08-10 06:15:14
163,NORESTE,13565.0,8590.0,4975.0,06,2023-08-10 06:15:14
164,NOROESTE,3992.0,3749.0,243.0,06,2023-08-10 06:15:14
165,NORTE,4140.0,4436.0,-296.0,06,2023-08-10 06:15:14
166,OCCIDENTAL,5164.0,8249.0,-3085.0,06,2023-08-10 06:15:14
167,ORIENTAL,7176.0,6455.0,721.0,06,2023-08-10 06:15:14
168,PENINSULAR,1349.0,1917.0,-568.0,06,2023-08-10 06:15:14
169,S.I. NACIONAL,39991.0,39738.0,253.0,06,2023-08-10 06:15:14
170,Baja California,2062.0,2067.0,-5.0,07,2023-08-10 07:30:26
171,Baja California Sur,441.0,433.0,8.0,07,2023-08-10 07:30:26
172,CENTRAL,4588.0,6807.0,-2219.0,07,2023-08-10 07:30:26
173,NORESTE,12924.0,8708.0,4216.0,07,2023-08-10 07:30:26
174,NOROESTE,3808.0,3602.0,206.0,07,2023-08-10 07:30:26
175,NORTE,4728.0,4525.0,203.0,07,2023-08-10 07:30:26
176,OCCIDENTAL,6103.0,8659.0,-2556.0,07,2023-08-10 07:30:26
177,ORIENTAL,7373.0,6506.0,867.0,07,2023-08-10 07:30:26
178,PENINSULAR,1556.0,1990.0,-434.0,07,2023-08-10 07:30:26
179,S.I. NACIONAL,41082.0,40810.0,272.0,07,2023-08-10 07:30:26
180,Baja California,2748.0,2842.0,-94.0,13,2023-08-10 13:13:47
181,Baja California Sur,574.0,554.0,20.0,13,2023-08-10 13:13:47
182,CENTRAL,5273.0,7949.0,-2676.0,13,2023-08-10 13:13:47
183,NORESTE,13154.0,10346.0,2808.0,13,2023-08-10 13:13:47
184,NOROESTE,4913.0,4521.0,392.0,13,2023-08-10 13:13:47
185,NORTE,5882.0,5038.0,844.0,13,2023-08-10 13:13:47
186,OCCIDENTAL,7881.0,9897.0,-2016.0,13,2023-08-10 13:13:47
187,ORIENTAL,8828.0,7404.0,1424.0,13,2023-08-10 13:13:47
188,PENINSULAR,1789.0,2297.0,-508.0,13,2023-08-10 13:13:47
189,S.I. NACIONAL,47713.0,47460.0,253.0,13,2023-08-10 13:13:47
190,Baja California,2749.0,2912.0,-163.0,14,2023-08-10 14:11:51
191,Baja California Sur,579.0,562.0,17.0,14,2023-08-10 14:11:51
192,CENTRAL,5530.0,8030.0,-2500.0,14,2023-08-10 14:11:51
193,NORESTE,12815.0,10499.0,2316.0,14,2023-08-10 14:11:51
194,NOROESTE,5110.0,4736.0,374.0,14,2023-08-10 14:11:51
195,NORTE,6085.0,5156.0,929.0,14,2023-08-10 14:11:51
196,OCCIDENTAL,7648.0,9722.0,-2074.0,14,2023-08-10 14:11:51
197,ORIENTAL,9363.0,7634.0,1729.0,14,2023-08-10 14:11:51
198,PENINSULAR,1890.0,2358.0,-468.0,14,2023-08-10 14:11:51
199,S.I. NACIONAL,48436.0,48142.0,294.0,14,2023-08-10 14:11:51
200,Baja California,2818.0,2951.0,-133.0,15,2023-08-10 15:12:04
201,Baja California Sur,585.0,566.0,19.0,15,2023-08-10 15:12:04
202,CENTRAL,5365.0,7936.0,-2571.0,15,2023-08-10 15:12:04
203,NORESTE,13053.0,10754.0,2299.0,15,2023-08-10 15:12:04
204,NOROESTE,5066.0,4881.0,185.0,15,2023-08-10 15:12:04
205,NORTE,5977.0,5143.0,834.0,15,2023-08-10 15:12:04
206,OCCIDENTAL,7874.0,10032.0,-2158.0,15,2023-08-10 15:12:04
207,ORIENTAL,9950.0,7725.0,2225.0,15,2023-08-10 15:12:04
208,PENINSULAR,1883.0,2432.0,-549.0,15,2023-08-10 15:12:04
209,S.I. NACIONAL,49151.0,48897.0,254.0,15,2023-08-10 15:12:04
210,Baja California,2823.0,2987.0,-164.0,16,2023-08-10 16:06:50
211,Baja California Sur,574.0,559.0,15.0,16,2023-08-10 16:06:50
212,CENTRAL,5516.0,8057.0,-2541.0,16,2023-08-10 16:06:50
213,NORESTE,13443.0,10820.0,2623.0,16,2023-08-10 16:06:50
214,NOROESTE,5175.0,4889.0,286.0,16,2023-08-10 16:06:50
215,NORTE,5767.0,5212.0,555.0,16,2023-08-10 16:06:50
216,OCCIDENTAL,7779.0,10106.0,-2327.0,16,2023-08-10 16:06:50
217,ORIENTAL,9780.0,7711.0,2069.0,16,2023-08-10 16:06:50
218,PENINSULAR,1962.0,2469.0,-507.0,16,2023-08-10 16:06:50
219,S.I. NACIONAL,49414.0,49252.0,162.0,16,2023-08-10 16:06:50
220,Baja California,2816.0,2989.0,-173.0,17,2023-08-10 17:02:57
221,Baja California Sur,577.0,561.0,16.0,17,2023-08-10 17:02:57
222,CENTRAL,5783.0,7950.0,-2167.0,17,2023-08-10 17:02:57
223,NORESTE,13745.0,10812.0,2933.0,17,2023-08-10 17:02:57
224,NOROESTE,5127.0,4989.0,138.0,17,2023-08-10 17:02:57
225,NORTE,5592.0,5203.0,389.0,17,2023-08-10 17:02:57
226,OCCIDENTAL,7459.0,10063.0,-2604.0,17,2023-08-10 17:02:57
227,ORIENTAL,9838.0,7750.0,2088.0,17,2023-08-10 17:02:57
228,PENINSULAR,1863.0,2448.0,-585.0,17,2023-08-10 17:02:57
229,S.I. NACIONAL,49415.0,49230.0,185.0,17,2023-08-10 17:02:57
